userid,sentence,label,predicted_supportiveness_label,rating,negative_score
user-15,"['but even when everybody only brags about the good moments in their lifes, i realize that i havent got any of this good moments']",Behavior,0,2.0,0.7257457375526428
user-15,['yeah but i see them in their successful moments and realize i havent got any successful moments'],Behavior,0,2.0,0.0
user-16,['i want to escape from my life.'],Ideation,0,3.0,
user-16,['i was looking into canceling a preorder i have pending for a camera and buying a tank of excessive upper gastrointestinal gas to do myself in with not a minute ago.'],Ideation,0,5.0,
user-16,['the suicide rate now is about 35k a year.'],Ideation,0,5.0,
user-16,"['i get the sense that people generally only want to see me happy or dead, and that im insufferable otherwise.']",Ideation,0,2.0,0.8174869418144226
user-16,"['i havent made any money off it yet, but it is the one thing that gives me a reason to carry on.']",Ideation,0,2.0,0.0
user-17,['only reason i didnt kill myself tonight is because i procrastinated until i thought i might be discovered.'],Behavior,0,3.0,
user-17,"['im a guy, so not so many men willing to have sex with me, but the emptiness/friends of obligation is very familiar.']",Behavior,0,2.0,0.5379133224487305
user-17,"['im interested, since youve pretty much described my life.']",Behavior,0,2.0,0.0
user-18,"['ive downed a bottle of pills before, i used to cut, used to choke myself but never could finish it no matter how bad i wanted to no matter how badly i needed to because at the end right before blanking out my brain would scream stop.']",Attempt,0,4.0,
user-18,['it sucked massively and since that age i was homeschooled but i had to teach myself.'],Attempt,0,2.0,0.9451876878738403
user-18,['ive been raped and many other things i cant go to college due to seizures and i cant do what my heart desires.'],Attempt,0,2.0,0.9348846673965454
user-18,['my dad didnt want me cause i was a illness kid and have done nothing but get worse.'],Attempt,0,2.0,0.9309942126274109
user-18,['i was hit by a truck when i was eleven and ive been battling depression since.'],Attempt,0,2.0,0.8950642943382263
user-19,"['i know it, but then, i have so much fun then i want to drown.']",Ideation,0,3.0,
user-19,"['then got a second, which lasted maybe the same.']",Ideation,0,3.0,
user-19,"['i dont know how it relates, but it fucking sucks, whole family was fucked up for a serious amount of time, watching your mum die over a couple of years gave me serious mares.']",Ideation,0,2.0,0.9536399245262146
user-19,"['worst shit ever, felt like a drug addict coming off, guess i was.']",Ideation,0,2.0,0.9517626166343689
user-19,"['my mother died from motor neuron disease, shit was real.']",Ideation,0,2.0,0.931259036064148
